4.25	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	3.5	0	0	0	0	0	0	0	0	4.5	0	5	0	0	0	0	0	3.5	0	3.75	5	0	0	0	0	0	0	0	0	4.25	0	3.75
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3.5
0	0	0	4.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	3.75	0	0	0	0	0	0	0	0	3.75	0	0	0	0	0	0	0	0	0	4
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75	0	0	0	0	0	0	2.25	3	0	3.5	0	0	0	0	4.75	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	5	0	5	0	0	0	0	0	0	0	0	5	4.25	5	0	0	4.75	4.75	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	5	0	0	0	0	0	0	0	5	0	0	5	5	0	5	0	0	5	0	5	5	0	0	0	0	0	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1.5
0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5
0	0	0	0	0	3.25	0	0	0	0	0	0	0	0	0	3.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
0	0	4.5	4	0	0	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	0	0	4.75	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4.5	0	0	0	0	0	0	0	0	0	4.25	5
4.75	4	0	0	0	0	0	0	0	3	0	4.75	0	0	0	0	0	0	4.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.75	0	0	0	0	0	0	0	0	0	0	0	4.75	0	4.75	3
3.25	0	0	0	4	0	0	0	0	3.75	4	3.75	0	0	0	0	0	0	0	0	0	0	0	0	4.25	0	0	0	0	0	0	0	3.75	0	0	0	0	2	0	0	0	0	0	0	0	0	1.25	0	0	0	0	0	4.25
0	0	0	0	0	3.5	0	0	1.75	0	0	0	0	0	0	0	3.75	0	0	4.25	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5
0	0	5	0	3.75	2.25	0	4.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.25	0	0	0	0	0	0	0	0	0	3.75	0	0	4.25	0	0	0	0	0	0	3.75	0	0	4.75
0	0	0	0	0	0	0	0	0	0	3.75	0	0	0	0	0	0	0	0	0	0	0	4.75	4	0	0	0	0	3.5	3.25	0	0	0	0	0	0	0	0	0	0	4.75	0	0	0	0	0	5	4.25	0	0	0	0	5
0	0	0	0	0	0	0	0	0	0	4.25	0	0	0	0	0	0	0	0	0	0	3.75	0	0	0	3	0	0	2.5	0	0	0	0	0	0	0	0	4.25	4.5	4	0	0	0	0	4.75	4.75	0	0	0	0	0	4.75	4
0	3.75	5	0	0	4	0	0	5	3	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3.75	4.5	0	0	3.25	0	0	0	0	0	0	0	4	0	0	3.25	0	2.75
